RQBJHE40U7YE N B-NP I-NP
1I G O O
L7PC4OH V B-NP B-NP
HSRVT N I-NP I-NP
E , O O
Z5 ! B-AP B-AP
T66 $ O O
MHU7 P O O
B7YGT ^ B-NP B-NP
WXRJ ^ O I-NP
1E7 & O O
X60X3 A B-AP B-AP
JW340 P O O
YA0E N B-MV B-NP
87J8NFEIMXTMMS N B-NP I-NP
5 , O O
P1W5B8X V B-MV B-MV
BF4G L B-NP B-NP
5P972 ^ I-NP I-NP
O8V P O O
GX $ O O
XDA2 R O O
VQMD0M N B-MV B-MV
7 , O O
ZM7T23 V B-MV B-MV
IHL68 R B-AP O
5 , O O
LFQ G B-NP O
I0PW G O O

Z42171Q7D O B-NP B-NP
KSMJ0 V I-NP I-NP
9AAVUK9 N I-NP I-NP
9HI8UF V B-MV B-MV
5K G O O
N2SRNY G B-NP B-NP
4X66 ^ I-NP I-NP
6F9 G B-NP I-NP
8FX G I-NP O
MD8 P O O
38ZV ^ B-NP B-NP
0VWPYWUT $ O O
C , O O
PNUOBG6 N B-NP B-NP
H , O O
VN51S7I172XWT ^ B-NP B-NP
9 , O O
14 G B-MV O
ZD2SGM9Z ^ B-NP B-NP
J8IUZB ^ I-NP I-NP
7 , O O

2KISZB N B-NP B-NP
MXJA N I-NP I-NP
7G2VQS N I-NP I-NP
N1 G O O
FU8FC2W ^ B-NP B-NP
JF9BJ N I-NP I-NP
N $ O O
X4E4367QR V B-MV B-MV
WXC ^ B-NP B-NP
7NE ^ O I-NP
U G B-NP I-NP
15KAIIX G I-NP I-NP
481 G I-NP I-NP

KKOAG V B-NP B-NP
DK G O O
A $ B-NP B-NP
OTI6 N I-NP I-NP
C , O O
NU4NK R B-NP B-NP
XYV06E N I-NP I-NP
5 & O O
Q3TXH9 R B-AP B-AP
PMG3OH A I-AP I-AP
V , O O
Z8Z37BO6G ^ B-AP B-NP
5 , O O
LP81R N B-NP B-NP
W , O O
UAQ A B-NP B-NP
BW76 A I-NP I-NP
QSNM2B N I-NP I-NP
K , O O
XOJDW V B-MV B-MV
H5BNK6YN N B-NP B-NP
W , O O
W2K V B-MV B-MV
XTX1T4BN N B-NP B-NP
D , O O

BFGHBP6 A B-NP B-NP
SHCN6 V B-MV B-MV
FPDO51 N B-NP B-NP
LJ G O O
QHW1 N B-NP B-NP
N3B3 V I-NP I-NP
JQ708BY N I-NP I-NP
91495SDS8 V B-MV B-MV
F , O O
ULUP V B-MV B-MV
5B O B-NP B-NP
Z5 V B-MV B-MV
Z7FKBT R B-NP O
VNBG A I-NP B-AP
Q , O O
W G B-NP O
JRO ^ I-NP B-NP
C5GN1U A B-NP I-NP
P8GUR N I-NP I-NP
JS34QI V B-MV B-MV
4C P O O
S5M N O O
VP1V22 N B-NP B-NP
4 , O O
0LQOD V B-MV B-MV
3C42 N B-NP B-NP
8 , O O

AY5R9L1TK7 V B-MV B-MV
R05G P O O
7IXC3QIP N B-NP B-NP
L3 G O O
DSSH ^ B-NP B-NP
A0H7X57 P O O
ODAU1QCX N B-NP B-NP
S7Y8LNNLH V B-MV B-MV
TY7JVCR A B-NP B-NP
P5P1CIP5G8N N I-NP I-NP
C , O O

EHWPWK4S0D74A ^ B-NP B-NP
4DN ^ B-NP I-NP
MG G O O
Q , O O
G3BBKX V B-MV B-MV
NGPU47SH N B-NP B-NP
JW P O O
ZOTZ3UNWT N B-NP B-NP
XA9EK6ANW N I-NP I-NP
0RB6 P O O
XBUVCK7 A B-NP B-NP
HLU0BKWP N I-NP I-NP
9RCS8H2 N I-NP I-NP
9QYYULRRGXE N I-NP I-NP
XBF9 P O O
H2HW7340X N B-AP B-NP
PBM & O O
FTDM8ZK V B-NP B-MV
XRQ0L9LI V I-NP B-NP

AU4TH N B-NP B-NP
643B8FJ N I-NP I-NP
CT G O O
OJ8 V O O
HZDLFWCC V B-MV B-MV
YC P O O
FPGT8L82V ^ B-NP B-NP
M48 & O O
N8JBT R B-AP O
PQXBXU R I-AP O
R , O O
HIJ9U775 N B-NP B-NP
3K4I P O O
4W5LQVDAQUXB N B-NP B-NP
T7 P O O
1RSMZSZ V B-MV B-MV
N2DZ0BNST A B-NP B-NP
BS2F N I-NP I-NP
LB P O O
A87L $ O O
O , O O
JJ ^ O O
NI5C9 ^ B-NP B-NP
0AUN9K2RK4V6 ^ I-NP I-NP
2FS2KPK V B-MV B-MV
3 , O O
TF0SK V B-MV B-MV
93KFS5XE7E N B-NP B-NP
R0U3 N I-NP I-NP
NP P O O
22G5 A O B-NP
IIS ^ O I-NP
2 , O O
LKD6JOX V B-MV B-MV
XL P O O
PWZ8 V B-MV B-MV
Q8 P O O
W4CM N O B-NP
BP P O O
V7VHLITH1 ^ B-NP B-NP
L , O O
WBP V B-MV B-MV
LF P O O
3O1R $ O O
H , O O

6776GH3STR N B-NP B-NP
46KRYUHC7 V B-MV B-MV
YC ~ O O
2A5LRZZB4B $ O O
MVFL1L N B-NP B-NP
CMD $ I-NP O
N6HTJY N I-NP B-NP
6J4396 N B-MV I-NP
C , O O
L , O O
AO3 $ O O
1 , O O
G87 N O B-NP
2E $ O O
NP N O B-NP
H1 P O O
5S3C N B-NP B-NP
MZW7L N I-NP I-NP
NZC & O O
FKSR9NI V B-MV B-MV
ZC P O O
CLU6 N B-NP B-NP
TL ^ B-NP B-NP
M G I-NP I-NP
RH8KK G I-NP I-NP

7EMI6 ^ B-NP B-NP
D59UNRJ0J7I N I-NP I-NP
2U94OPJL1TGT N I-NP I-NP
OI , O O
LN4 D B-AP B-NP
31H N I-AP I-NP
YR P O O
Q $ B-NP B-NP
Q80DL N I-NP I-NP
FOFSOR N B-NP B-NP
F9T5 V I-NP B-MV
M9 A B-AP B-AP
A00 & O O
ZG D B-NP B-NP
QFS7D95A A I-NP I-NP
TCFL2V1 N I-NP I-NP
YQRLEQ45Q0R7F2Y V B-NP B-MV
CQ0 P O O
KYUNYU A B-NP B-NP
29Y N I-NP I-NP

IJS G O O
8M8Y N B-NP B-NP
S , O O
ESNPMEJVW A B-AP B-AP
CLF & I-AP O
M1Q2CCH707D A I-AP B-AP
QW , O O
DY P O O
1 N B-NP B-NP
KCX N I-NP I-NP
M , O O
D39MGGM8 R O O
R8H7 P O O
GY5 ^ B-NP B-NP
0 ^ I-NP I-NP
K , O O
8EDUOLF3Z V B-MV B-MV

P7YQ46PNK A B-NP B-NP
NKDU8D6J N I-NP I-NP
XG P O O
QC1DPHE0 N B-NP B-NP
L5 , O O
MPYS16R0 V B-MV B-MV
03TFWEQ ^ B-NP B-NP
SQ6 & O O
APQHTJCXXJCB N B-NP B-NP

75GEKP4IW N B-NP B-NP
4OH3Q1T7T N I-NP I-NP
PS G O O
QZE V B-MV B-MV
RNW62Q A B-NP B-NP
ZUBY N I-NP I-NP
0XQIDINS7 N O B-NP
51 ^ O B-NP
FP8 N O I-NP
7SKA N O I-NP
6MM V B-MV B-MV
0KO1B4 A B-AP B-AP
YLND D B-NP B-NP
HMLNIL0 N I-NP I-NP
Q , O O
0IBQW V O O
WLNN67 R B-NP O
DGP4 V I-NP B-MV
N , O O
PNUO R B-AP B-NP
WK P O O
NBC4 N B-NP B-NP
KE5RX V B-MV B-MV
T8M0N A B-AP B-NP
2K ^ O I-NP
F9 V O B-MV
NL4P A B-NP B-NP
IF0AKKO6V N I-NP I-NP
CW O B-NP B-NP
A0QP V B-MV O
MOG V B-MV B-MV
JDN N B-NP B-NP
F8FURS N I-NP I-NP
6 , O O
AN2 V B-MV B-MV
GXIX A B-NP B-NP
4OGR A B-NP B-NP
EPVX60 N I-NP I-NP
8N P O O
SPQDQVD ^ B-NP B-NP
ZWG P O O
G1E ^ B-NP B-NP
6V D B-NP B-NP
QEVPVWF N I-NP I-NP
Y48TQ V I-NP I-NP
55O V B-MV B-MV
CT6ZI R B-AP O
8H P O O
G4JG N B-NP B-NP
KCDQ V B-MV O
DHJP V B-MV B-MV
YOEI4A0BJM N B-NP B-NP
6H ^ B-NP I-NP
4H , O O
641102E R O O

5JJJVV2 A B-NP B-NP
FRPQFLH6 V B-MV B-MV
C5 ~ O O
TFQCHM R B-AP B-AP
C0PVRK P O O
VJC0V R O O
IE2N R B-NP O
ZPL & O O
4AJORI V B-NP B-MV
VI4 & O O
TWPBD N B-NP B-NP
3 , O O
NO ^ B-MV B-NP
VX2M P O O
2D9I4PLT1H N B-NP B-NP

J , O O
0 N B-NP B-NP
X , O O
JMY8SFBI5 N B-NP B-NP
WG P O O
58O19 N B-NP B-NP
DV G O O
NW71PD V O B-MV
Z5NV ^ B-MV B-NP
RRO6V P O O
CNPJ A B-NP B-NP
5G25O N I-NP I-NP
G , O O
0M ^ B-NP B-NP
WG P O O
CDK D B-NP B-NP
WKO N I-NP I-NP
H , O O
8OHO V O O
Y1TN V B-MV B-MV
F2 P O O
HQ ^ B-NP B-NP
R1LBVM N I-NP I-NP
J , O O
WA54BE3L5CNU N B-NP B-NP
QZW927 V B-MV B-MV
2 , O O

R2BZW2JTX V B-NP B-NP
6IZ8AY7Q V B-MV B-MV
WTR N O B-NP
IO G O O
ZO8Z N B-NP B-NP
167 N O I-NP
U , O O
E9KL A B-NP B-NP
VMSSY N I-NP I-NP
IA4 G O O
47 G B-NP O
OQLQ R O O
V & O O
Z60Y ^ B-NP B-NP
6SC ^ I-NP I-NP
0 , O O
SJ8 G B-NP O
9E ^ B-NP B-NP
HKY6JC ^ I-NP I-NP
TTR P O O
MMXQEI N B-NP B-NP
6269 N I-NP I-NP
37 N O B-NP
A4BB R B-NP O

XAWOP1DXS N B-NP B-NP
8AD32G3WY N I-NP I-NP
H8 ~ O O
O , O O
B9Q5J8LP N B-NP B-NP
EY P O O
PJG9EMTX G B-NP B-NP
E86PV N I-NP I-NP
LZ7A , B-NP O
26RWD V B-MV B-MV
90D0JR49 , B-NP B-NP
QXX & O O
HD37LGX V B-MV B-MV
Z89DUZFI , B-NP B-NP
02P & O O
KBN V O O
FGPG V O B-MV
DW5 N B-MV B-NP
I , O O
KZCY , B-NP O
XX V O B-MV
F08 R O O
2S P O O
BOKT2 P O O
IYCBUT ^ B-NP B-NP
0 , O O
W7 ^ B-NP B-NP
EDVLDIH , I-NP I-NP
5MT6EB9N V B-MV B-MV
ENE & O O
TF ! B-AP B-AP
A , O O
7XC G B-NP B-NP

ZOVR5ZI20YEED A B-NP B-NP
KZC2QDZZX6 N I-NP I-NP
ZX6LW N I-NP I-NP
8E , O O
LCIEXU7 V B-MV B-MV
0GMWPVZ ^ B-NP B-NP
WH8HU $ O O
O19EKR N B-MV B-MV
J $ O B-NP
HN0D9 N O I-NP

UQ8ZB9XMK N B-NP B-NP
3DBV9VHO1 N I-NP I-NP
RM G O O
IKV1 V B-MV B-MV
3SEATY8 A B-NP B-NP
N , O O
WGUI7PJ R B-AP O
7SSGQRI V B-MV B-MV
HF837ATC A B-NP B-NP
7FEUFCQ N I-NP I-NP
1 , O O
8VW6 V O O
XLPE V B-MV B-MV
4A P I-MV O
0K P O O
4KZ V B-MV B-MV
X4 O B-NP B-NP
VGHL2M ^ B-NP B-NP
R , O O
3AJZ0 V B-MV B-MV
U7Y N B-NP B-NP
B4V0U40KHP N I-NP I-NP
A , O O
FJ9 & B-NP O
V5 O I-NP B-NP
J , O O
Q76LJGH A B-NP B-NP
LIIE N I-NP I-NP
W , O O
M4G E B-NP O
Y , O O
4FGJQAA6KDAZL7 L B-NP B-NP
WWZW6S3GOO N I-NP I-NP
2 , O O
6VRC G O B-NP

4I084TXTP1KN N B-NP B-NP
89C3N9P N I-NP I-NP
CQ G O O
LJ D B-NP B-NP
SW ^ I-NP I-NP
L ^ O I-NP
G $ B-NP O
APZ7 N I-NP O
7 , O O

NYKY8 ^ O B-NP
J7 G O O
1Y D B-NP B-NP
0NDC8 N I-NP I-NP
UE0T N I-NP I-NP
P , O O
6Z8G9H A B-NP B-NP
WG6 A B-NP I-NP
0QS463U4BRK6 N B-NP I-NP
XJGC N B-NP I-NP
U , O O
7ZJ V B-MV B-MV
JSXY A B-NP B-NP
0VKY N O I-NP
Q5G $ O O
97HHF V B-MV B-MV
IR N B-NP B-NP

8BF0 N B-NP B-NP
SUQ7X N I-NP I-NP
PR ~ O O
6I ! B-AP B-AP
K , O O
3U ^ B-NP B-NP
X , O O
4OH $ O O
U , O O
WK $ O O
Q , O O
A6PLT3Q V B-MV B-MV
U6B3Y N B-NP B-NP
GI ! B-AP B-AP

Q36QB56 A B-NP B-NP
1A7VELRS V B-MV B-MV
ML G O O
9VLN N B-MV B-NP
CY G B-NP O
IDHNTL N I-NP B-NP
V , O O
C G B-NP B-NP
2N $ O O
WQ R B-NP O
K , O O
PU V O B-MV
NVQZS N B-NP B-NP
BBT N B-MV I-NP
1 , O O
GBW G O B-NP
3 G O I-NP
5I9 G B-NP I-NP
8VE N O I-NP
R , O O
CSF V B-MV B-MV
4HP5 ^ B-NP B-NP
M5X N I-NP I-NP
X4SP3I G B-NP I-NP
5CA G B-MV O
0K4A N B-NP B-NP
I5EN0 N I-NP I-NP
8L V O B-MV

D9EKQ97PJMC3FA ^ B-NP B-NP
HE G O O
ASM229 A B-NP B-NP
277SE5 N I-NP I-NP
ZTB47RPK N I-NP I-NP
Y , O O
SHS D B-NP B-NP
H7ZGFGGU N I-NP I-NP
JSODZC P O O
LIA D B-NP B-NP
IHHPA N I-NP I-NP
GZBW8 V O B-MV
ZRCX $ O O
0N P O O
7IWXR9O N B-NP B-NP
N , O O

EL8F1Q4EOTP N B-NP B-NP
6P P O O
OJF8D04XQ N B-NP B-NP
77S ^ B-NP O
VW G O O
JA4CUQO A B-NP B-NP
888AGX V B-MV B-MV
3Q P I-MV O
BYWZMT V I-MV B-MV
ADJ P O O
88NT61CQCO3 N B-NP B-NP
IRQDO N B-NP B-NP
HZ P O O
1LA G B-NP B-NP
VSCUX G I-NP I-NP
NM G I-NP I-NP

C2NT0PK7MH1D0 ^ B-NP B-NP
3TS1PDM N I-NP I-NP
N5 G O O
WC1M P O O
7GNO6G50 N B-NP B-NP
W , O O
8NT P O O
93H49I98 ^ B-NP B-NP
CY P O O
D ^ B-NP B-NP
K2PQMK3DT ^ I-NP I-NP
H48 & O O
4MWJ88 N B-NP B-NP
K , O O
D2P3N3PL R O O
2RV8 $ O O
31JBLG N O B-NP
Q , O O
56N V B-MV B-MV
STQ9 V O O
CEY3J4CP V B-AP B-MV
WD P O O
WKGNXHQ N B-MV B-NP

SMLG9A V B-NP B-MV
2 , O O
P6KJ6M8MK A B-AP B-AP
C7 , O O
18E L B-NP B-AP
NQ P O O
M3 $ O O
VIE9 O B-NP B-NP
5K V I-NP O
I9 A B-AP B-AP
XC1GA P O O
X3RM $ O O
VRKY R O O
UPPXTU V B-MV B-NP
LC26V69DP V B-MV B-MV
S10LRVYFKORP7B R O B-AP
V , O O
XIJA1 V B-MV B-MV
I4DKJR N B-NP B-NP
1 , O O
IYPC9MHZP N B-NP B-NP
V5KYT N I-NP B-NP
Y8 ! B-AP B-AP
E , O O
SE0UBO233 V B-MV B-MV
RXZ & O O
A95P6NS V B-MV B-MV
6Z P O O
UYK6NH79I N B-MV B-NP

JAMR0OYQ V B-NP B-NP
2J P O O
N3T53WS1 N B-NP B-NP
NE3C A I-NP I-NP
8E , O O
MYIYO ^ B-NP B-NP
F $ I-NP I-NP
6QRKY23W N I-NP I-NP
0C2N A I-NP I-NP
GL P O O
TQV57U ^ B-NP B-NP
P , O O
V16X G B-NP B-NP
UZX V B-MV O
FNK5IIX V B-MV B-MV
31 P O O
WA V B-MV B-MV
B2 P O O
N8Z N B-NP B-NP
79O22 P O O
5W49Z6RJS N B-NP B-NP
MHB2WFHOS N I-NP I-NP
1 , O O

IFA4LV5V47S N B-NP B-NP
M8 G O O
IPC V B-MV B-MV
YH1 N B-NP B-NP
GCFBMMGR N I-NP B-NP
M , O O
G6VG8U32O1GNGQ A B-AP B-AP
J , O O
3VC V B-MV B-MV
NSCZZ1FU N B-NP B-NP

NP0NXPBEERG ^ B-NP B-NP
L5YW5DDV0GLBE N I-NP I-NP
EIBK N I-NP I-NP
IO , O O
4JOYXNRHJ6 A B-NP B-NP
ID5BBQI4XM N I-NP I-NP
W , O O
FK1ZSXC4JP5 ^ B-NP B-NP
PIJ A I-NP I-NP
4X0IC N I-NP I-NP
AOPIXAR A B-AP B-AP
7 , O O
6 , O O
EBJ2 A B-NP B-NP
0B1HWS75OCN8Y ^ I-NP I-NP
3FE & O O
CVHP4R7A R B-NP B-NP
6K0 A I-NP I-NP
N8X0VYHUA N I-NP I-NP
D , O O
RD7T9KU V B-MV B-MV
9GZI1Y9A ^ B-NP B-NP
DU6K5 N I-NP I-NP

OAF A B-NP B-NP
KV49C7L N I-NP I-NP
7V , O O
7MZ & O O
ZAVE A B-AP B-AP
X , O O
05Q $ O O
F9ZQ0T0HB N B-NP B-NP
TUPCL P O O
3YWDC ^ B-NP B-NP
JGD06S N I-NP I-NP
F94V2 G B-NP I-NP

E1AM9SEMXD N B-NP B-NP
E2JZEEH2M7 N I-NP I-NP
KA G O O
3TTQ1STHO0 G B-NP O
OBRYM D O O
K3K980LH V B-MV B-MV
9 D B-NP B-NP
V5FNKA A I-NP I-NP
TGKJKKV N I-NP I-NP
U , O O
Q D B-NP B-AP
6J7VA A I-NP I-AP
N5Y & I-NP O
IIIBSL5NN A I-NP B-NP
8TE5FOX V I-NP I-NP
AFRRLPG6 N I-NP I-NP
XSK & O O
Y D B-NP B-NP
JHFNY2 A I-NP I-NP
GEBUBB0 N I-NP I-NP
A , O O

5PDPRL0 A B-NP B-NP
6RLEVRIR V B-MV B-MV
82 ~ O O
8PHNTT V B-MV B-MV
2YLVAN A B-AP B-AP
BRC R O O
DGOC9 N B-NP B-NP
8BXKS A B-AP B-AP
A , O O
3USXXE8I N B-NP B-NP
7I P O O
BQRFDE N B-NP B-NP
JZQV N I-NP I-NP
T1VO P O O
QVF7 A B-NP B-NP
DH6J3J3 N I-NP I-NP
O , O O
QAH02UMMIWA ^ B-AP B-NP
WW059X ^ O I-NP
HE7 $ O O
Y , O O
ZJ3WK N B-NP B-NP
UTW053T A B-AP I-NP
BFBPK3T2M N B-NP I-NP
YX P O O
BCRQ8 N B-NP B-NP
D , O O
0PSO P B-NP O
T9 D I-NP B-NP
LA0SJ4H7KS N I-NP I-NP
BK5 & O O
B3CJ A B-AP B-AP
IC P O O
PJ P O O
2855 A B-NP B-NP
HGOG N I-NP I-NP
QAN3 N I-NP I-NP
VDY134P5G N I-NP I-NP
P , O O
PGD5 A B-AP B-AP

TXF4YUJ4E N B-NP B-NP
KRDJB5LHU N I-NP I-NP
NW G O O
CD5N8Z5 V B-MV B-MV
NS3RK5 A B-AP B-AP
K8N92 P O O
YK8Z N B-NP B-NP
5 , O O
6CMDA9QK A B-AP B-AP
T2 P O O
3M41 N B-NP B-NP
S , O O
SJ0N D B-NP B-NP
UFPT N I-NP I-NP
0T P O O
B426 N B-NP B-NP
2 , O O
QC4FR V B-MV B-MV
PM8 ^ O O

861G V B-MV B-MV
P4 P O O
6WWD61M N B-NP B-NP
5SVQKF N I-NP I-NP
SN , O O
H5EPUZKN9 V B-MV B-MV
G8X02E3 N B-NP B-NP
L , O O
5JUVNAS N B-MV B-NP
UPV3 N B-NP I-NP
6LMF N I-NP I-NP
K , O O
JP G B-NP B-NP

PR5LOPDG N B-NP B-NP
GT6D8KYU A I-NP I-NP
AK66S7C N I-NP I-NP
90 , O O
6BQVCHZ4 V B-MV B-MV
AR P O O
C714OI V B-NP B-MV
46 G B-NP B-NP
3 , O O
IHDK93Y N B-NP B-NP
2 , O O

EGNH ^ O B-NP
DYFW N B-NP I-NP
LQIHORM N I-NP I-NP
HN , O O
0BZJSN9G V B-MV B-MV
P , O O
J1QU D B-NP B-NP
8PXI N I-NP I-NP
Q , O O
KJ3L V B-MV B-MV
B4DA N B-NP B-NP
OFRG P O O
B2 ^ B-NP B-NP
5SBAX G I-NP I-NP
8 & O O
ADZG N B-NP B-NP
FKBXMM N I-NP I-NP
V4 P O O
1N249VNV N B-NP B-NP
2KPO P O O
PVDF N B-NP B-NP
0 , O O
Y2N N B-NP B-NP
PVZKDP V O O
VPV1 V B-MV B-MV
4CQK N B-NP B-NP
RXX $ O O
3 , O O
J3O P O O
OHM5UO A B-NP B-NP
HMQGU6 N I-NP I-NP
Q , O O
Z2 O B-NP B-NP
NM V O O
D4IW166 V B-MV B-MV
3K O B-NP B-NP
F9MI D O B-NP
D0U N B-NP I-NP
V , O O
Q , O O
SRE1 R O O
N6NIMS V O B-MV
PL ^ B-NP B-NP
WF6PU ^ I-NP I-NP
3AF ^ B-NP I-NP
D , O O
JUS D O B-NP
QY40YOWBE N B-NP I-NP
9AO8 N I-NP I-NP
Q , O O
J1ZG V O O
ZXA V B-MV B-MV
RKN83DP N B-NP B-NP
N7X R O O
2 , O O
EJWQ3 N B-MV B-NP

CNY2DR3JX12 A B-NP B-NP
SHWZOY N I-NP I-NP
6FG0IGUL N I-NP I-NP
JL G O O
8 , O O
0Z19 N B-NP B-NP
54GI5WKE N I-NP I-NP
F , O O
FC9C N B-NP B-NP
6H $ O O
9 , O O
BGOMKK N B-NP B-NP
0 , O O
549U9F N B-MV B-NP
89P V I-MV I-NP
H , O O
0K ^ B-NP B-NP
T , O O
JEIIH44 N O B-NP

9IH G O O
N484N3BQ9F ^ B-NP B-NP
Y0 G O O
2BH863 R B-NP B-NP
4P49V A I-NP I-NP
KU9HQG N I-NP I-NP
DY79VQTRO V I-NP I-NP
XZVOPZ V I-NP I-NP
1SY & O O
XHOBN1GFJO R O B-NP
SNEZ A B-NP I-NP
FR N I-NP I-NP
6D P O O
Y66LS P O O
SO $ O O
K , O O
899 N O B-NP
S , O O
IK1 V B-MV B-MV
QL1F R O O
LF25JOP V B-MV B-MV
Y8AW7 V B-NP B-NP
S0UEM0X2O R B-NP B-AP
O , O O
53IKL N B-NP B-NP
2K V B-MV B-MV
PYJ3IO R B-AP B-AP
CLE & O O
NACDW V B-MV B-MV
7NCOT79 A B-AP B-AP
9 , O O
EXAGI3654 N B-NP B-NP
SI V B-MV B-MV
XE2C A B-AP B-AP
Z , O O
LPNJZ N B-NP B-NP
5C4GX1 O I-NP B-NP
L0 V B-MV B-MV
0BEZQ A B-AP B-AP
02J & O O
69GL N B-NP B-NP
A6 P O O
